utc,symbol
2026-04-12T18:30:00+00:00,MANTRAUSDT
2026-04-12T22:00:00+00:00,POLUSDT
2026-04-13T00:00:00+00:00,0GUSDT
2026-04-13T00:15:00+00:00,IDUSDT
2026-04-13T00:30:00+00:00,PLUMEUSDT
2026-04-13T02:45:00+00:00,IRYSUSDT
2026-04-13T04:30:00+00:00,0GUSDT
2026-04-13T04:45:00+00:00,DOTUSDT
2026-04-13T05:30:00+00:00,AAVEUSDT
2026-04-13T06:45:00+00:00,MIRAUSDT
2026-04-13T07:30:00+00:00,IRYSUSDT
2026-04-13T08:15:00+00:00,PIEVERSEUSDT
2026-04-13T12:00:00+00:00,HOLOUSDT
2026-04-13T12:15:00+00:00,TREEUSDT
2026-04-13T14:00:00+00:00,IRYSUSDT
2026-04-13T14:00:00+00:00,VVVUSDT
2026-04-13T14:30:00+00:00,FLOCKUSDT
2026-04-13T17:00:00+00:00,PIEVERSEUSDT
2026-04-13T17:15:00+00:00,HOLOUSDT
2026-04-13T22:45:00+00:00,PLUMEUSDT
2026-04-14T00:00:00+00:00,1000BONKUSDT
2026-04-14T00:15:00+00:00,AAVEUSDT
2026-04-14T00:15:00+00:00,HOLOUSDT
2026-04-14T00:15:00+00:00,INUSDT
2026-04-14T00:30:00+00:00,CCUSDT
2026-04-14T01:30:00+00:00,IRYSUSDT
2026-04-14T03:45:00+00:00,ZBTUSDT
2026-04-14T04:30:00+00:00,OPENUSDT
2026-04-14T05:15:00+00:00,CCUSDT
2026-04-14T05:15:00+00:00,PLUMEUSDT
2026-04-14T05:45:00+00:00,ZAMAUSDT
2026-04-14T07:00:00+00:00,MMTUSDT
2026-04-14T07:30:00+00:00,IRYSUSDT
2026-04-14T07:45:00+00:00,FLOCKUSDT
2026-04-14T07:45:00+00:00,TREEUSDT
2026-04-14T10:00:00+00:00,PLUMEUSDT
2026-04-14T10:30:00+00:00,KAITOUSDT
2026-04-14T10:30:00+00:00,ZAMAUSDT
2026-04-14T10:45:00+00:00,INUSDT
2026-04-14T12:30:00+00:00,HYPERUSDT
2026-04-14T12:45:00+00:00,CCUSDT
2026-04-14T12:45:00+00:00,ZKPUSDT
2026-04-14T14:15:00+00:00,BARDUSDT
2026-04-14T14:30:00+00:00,ZAMAUSDT
2026-04-14T14:45:00+00:00,ELSAUSDT
2026-04-14T14:45:00+00:00,INUSDT
2026-04-14T15:00:00+00:00,PLUMEUSDT
2026-04-14T15:30:00+00:00,COWUSDT
2026-04-14T15:45:00+00:00,LSKUSDT
2026-04-14T16:45:00+00:00,CCUSDT
2026-04-14T16:45:00+00:00,IRYSUSDT
2026-04-14T16:45:00+00:00,PUMPUSDT
2026-04-14T16:45:00+00:00,VVVUSDT
2026-04-14T17:45:00+00:00,BIOUSDT
2026-04-14T18:30:00+00:00,INJUSDT
2026-04-14T18:45:00+00:00,1000SHIBUSDT
2026-04-14T19:30:00+00:00,INUSDT
2026-04-14T19:45:00+00:00,KAITOUSDT
2026-04-15T00:30:00+00:00,HOLOUSDT
2026-04-15T01:15:00+00:00,PLUMEUSDT
2026-04-15T01:30:00+00:00,INUSDT
2026-04-15T06:00:00+00:00,BIOUSDT
2026-04-15T06:00:00+00:00,LSKUSDT
2026-04-15T06:15:00+00:00,CCUSDT
2026-04-15T07:00:00+00:00,INUSDT
2026-04-15T07:00:00+00:00,MIRAUSDT
2026-04-15T07:45:00+00:00,OPENUSDT
2026-04-15T09:45:00+00:00,ERAUSDT
2026-04-15T10:15:00+00:00,CCUSDT
2026-04-15T11:00:00+00:00,BIOUSDT
2026-04-15T12:00:00+00:00,FLOCKUSDT
2026-04-15T12:45:00+00:00,INUSDT
2026-04-15T13:00:00+00:00,WLFIUSDT
2026-04-15T15:45:00+00:00,BIOUSDT
2026-04-15T16:45:00+00:00,AAVEUSDT
2026-04-15T17:30:00+00:00,CHZUSDT
2026-04-15T20:45:00+00:00,DEEPUSDT
2026-04-15T21:45:00+00:00,BIOUSDT
2026-04-15T22:00:00+00:00,INJUSDT
2026-04-16T00:00:00+00:00,HBARUSDT
2026-04-16T00:15:00+00:00,APTUSDT
2026-04-16T00:45:00+00:00,TRUMPUSDT
2026-04-16T01:15:00+00:00,FLOCKUSDT
2026-04-16T02:45:00+00:00,BIOUSDT
2026-04-16T03:15:00+00:00,STXUSDT
2026-04-16T04:45:00+00:00,AAVEUSDT
2026-04-16T05:15:00+00:00,SIGNUSDT
2026-04-16T08:00:00+00:00,BIOUSDT
2026-04-16T08:30:00+00:00,DEEPUSDT
2026-04-16T09:00:00+00:00,ERAUSDT
2026-04-16T09:15:00+00:00,COWUSDT
2026-04-16T09:30:00+00:00,AIUSDT
2026-04-16T09:30:00+00:00,STXUSDT
2026-04-16T10:15:00+00:00,1000PEPEUSDT
2026-04-16T11:00:00+00:00,SIGNUSDT
2026-04-16T12:45:00+00:00,DEEPUSDT
2026-04-16T13:15:00+00:00,BIOUSDT
2026-04-16T13:45:00+00:00,1000BONKUSDT
2026-04-16T13:45:00+00:00,1000SHIBUSDT
2026-04-16T13:45:00+00:00,AAVEUSDT
2026-04-16T13:45:00+00:00,APTUSDT
2026-04-16T13:45:00+00:00,ARBUSDT
2026-04-16T13:45:00+00:00,AVNTUSDT
2026-04-16T13:45:00+00:00,AXSUSDT
2026-04-16T13:45:00+00:00,CHZUSDT
2026-04-16T13:45:00+00:00,DOTUSDT
2026-04-16T13:45:00+00:00,ENSUSDT
2026-04-16T13:45:00+00:00,ETCUSDT
2026-04-16T13:45:00+00:00,FILUSDT
2026-04-16T13:45:00+00:00,INJUSDT
2026-04-16T13:45:00+00:00,LINKUSDT
2026-04-16T13:45:00+00:00,LSKUSDT
2026-04-16T13:45:00+00:00,MONUSDT
2026-04-16T13:45:00+00:00,PENDLEUSDT
2026-04-16T13:45:00+00:00,PENGUUSDT
2026-04-16T13:45:00+00:00,POLUSDT
2026-04-16T13:45:00+00:00,PUMPUSDT
2026-04-16T13:45:00+00:00,RENDERUSDT
2026-04-16T13:45:00+00:00,SANDUSDT
2026-04-16T13:45:00+00:00,STXUSDT
2026-04-16T13:45:00+00:00,SUIUSDT
2026-04-16T13:45:00+00:00,TRUMPUSDT
2026-04-16T13:45:00+00:00,UNIUSDT
2026-04-16T13:45:00+00:00,VIRTUALUSDT
2026-04-16T15:00:00+00:00,SIGNUSDT
2026-04-16T15:45:00+00:00,COWUSDT
2026-04-16T19:45:00+00:00,SIGNUSDT
2026-04-16T21:15:00+00:00,AAVEUSDT
2026-04-17T00:45:00+00:00,LAYERUSDT
2026-04-17T01:15:00+00:00,BIGTIMEUSDT
2026-04-17T03:00:00+00:00,ZORAUSDT
2026-04-17T04:30:00+00:00,BERAUSDT
2026-04-17T05:00:00+00:00,BIRBUSDT
2026-04-17T05:00:00+00:00,MEGAUSDT
2026-04-17T05:15:00+00:00,BIGTIMEUSDT
2026-04-17T05:45:00+00:00,SOONUSDT
2026-04-17T06:00:00+00:00,LAYERUSDT
2026-04-17T08:00:00+00:00,TRXUSDT
2026-04-17T08:30:00+00:00,VANAUSDT
2026-04-17T09:00:00+00:00,MMTUSDT
2026-04-17T09:15:00+00:00,SPKUSDT
2026-04-17T10:00:00+00:00,PENDLEUSDT
2026-04-17T10:30:00+00:00,NEARUSDT
2026-04-17T12:15:00+00:00,IRYSUSDT
2026-04-17T13:15:00+00:00,UNIUSDT
2026-04-17T13:45:00+00:00,MEGAUSDT
2026-04-17T13:45:00+00:00,WLFIUSDT
2026-04-17T14:00:00+00:00,PENDLEUSDT
2026-04-17T15:30:00+00:00,BIGTIMEUSDT
2026-04-17T15:30:00+00:00,SOONUSDT
2026-04-17T18:00:00+00:00,LSKUSDT
2026-04-17T18:00:00+00:00,PENDLEUSDT
2026-04-17T18:00:00+00:00,PYTHUSDT
2026-04-17T18:45:00+00:00,MEGAUSDT
2026-04-17T19:00:00+00:00,STXUSDT
2026-04-17T20:30:00+00:00,OPENUSDT
2026-04-17T22:45:00+00:00,PENDLEUSDT
2026-04-17T23:30:00+00:00,XPLUSDT
2026-04-17T23:45:00+00:00,SOONUSDT
2026-04-18T00:00:00+00:00,ELSAUSDT
2026-04-18T00:00:00+00:00,VANAUSDT
2026-04-18T00:15:00+00:00,MEGAUSDT
2026-04-18T05:00:00+00:00,MEGAUSDT
2026-04-18T06:00:00+00:00,AIUSDT
2026-04-18T06:00:00+00:00,BIGTIMEUSDT
2026-04-18T08:15:00+00:00,AXSUSDT
2026-04-18T08:15:00+00:00,SANDUSDT
2026-04-18T08:15:00+00:00,TRUMPUSDT
2026-04-18T08:30:00+00:00,AVNTUSDT
2026-04-18T10:00:00+00:00,ENSUSDT
2026-04-18T10:00:00+00:00,LSKUSDT
2026-04-18T10:00:00+00:00,MOVEUSDT
2026-04-18T10:00:00+00:00,VIRTUALUSDT
2026-04-18T10:15:00+00:00,PIEVERSEUSDT
2026-04-18T10:30:00+00:00,PENDLEUSDT
2026-04-18T10:45:00+00:00,BIGTIMEUSDT
2026-04-18T11:00:00+00:00,PUMPUSDT
2026-04-18T11:00:00+00:00,ZILUSDT
2026-04-18T11:30:00+00:00,AIUSDT
2026-04-18T15:30:00+00:00,MEUSDT
2026-04-18T16:15:00+00:00,AVNTUSDT
2026-04-18T16:30:00+00:00,BIGTIMEUSDT
2026-04-18T17:00:00+00:00,AXSUSDT
2026-04-18T17:00:00+00:00,ENSUSDT
2026-04-18T17:00:00+00:00,SANDUSDT
2026-04-18T18:30:00+00:00,AAVEUSDT
2026-04-18T18:30:00+00:00,MOVEUSDT
2026-04-18T18:45:00+00:00,SPKUSDT
2026-04-18T19:30:00+00:00,SKRUSDT
2026-04-18T22:15:00+00:00,PIEVERSEUSDT
