utc,cluster_size,btc_ret15,symbols
2026-04-13T15:00:00+00:00,1,-0.00613,PLTRUSDT
2026-04-13T15:30:00+00:00,1,-0.00158,ENAUSDT
2026-04-13T16:15:00+00:00,1,0.00284,LDOUSDT
2026-04-13T20:15:00+00:00,1,0.00058,ORDIUSDT
2026-04-13T23:45:00+00:00,1,-0.00193,EVAAUSDT
2026-04-14T00:00:00+00:00,1,-0.0012,1000BONKUSDT
2026-04-14T00:15:00+00:00,2,-0.00089,AAVEUSDT|LDOUSDT
2026-04-14T00:45:00+00:00,1,-0.00352,ORDIUSDT
2026-04-14T03:45:00+00:00,2,-0.00029,LABUSDT|ZBTUSDT
2026-04-14T05:00:00+00:00,1,-0.00067,LDOUSDT
2026-04-14T06:15:00+00:00,1,0.00067,EVAAUSDT
2026-04-14T07:00:00+00:00,1,0.00341,RIFUSDT
2026-04-14T09:30:00+00:00,1,-0.0022,TACUSDT
2026-04-14T10:30:00+00:00,1,-0.0027,KAITOUSDT
2026-04-14T12:00:00+00:00,1,-0.00097,ASTERUSDT
2026-04-14T12:15:00+00:00,1,-0.00021,RIFUSDT
2026-04-14T13:30:00+00:00,1,0.00917,INTCUSDT
2026-04-14T14:15:00+00:00,1,0.0038,LDOUSDT
2026-04-14T15:00:00+00:00,1,-0.00331,CRVUSDT
2026-04-14T16:00:00+00:00,1,0.00219,EPICUSDT
2026-04-14T16:45:00+00:00,3,-0.00742,AKEUSDT|PUMPUSDT|VVVUSDT
2026-04-14T17:00:00+00:00,2,0.00197,LABUSDT|RIFUSDT
2026-04-14T18:30:00+00:00,1,-0.00305,INJUSDT
2026-04-14T18:45:00+00:00,1,-0.00259,1000SHIBUSDT
2026-04-14T19:45:00+00:00,1,0.00144,KAITOUSDT
2026-04-14T21:15:00+00:00,1,-0.00105,EPICUSDT
2026-04-15T03:30:00+00:00,1,-0.00071,RIFUSDT
2026-04-15T07:30:00+00:00,2,-0.00154,DEXEUSDT|USUSDT
2026-04-15T09:00:00+00:00,1,-0.00109,RIFUSDT
2026-04-15T13:00:00+00:00,2,0.00063,RIFUSDT|WLFIUSDT
2026-04-15T13:15:00+00:00,1,0.00099,HOODUSDT
2026-04-15T13:30:00+00:00,5,-0.00699,AMZNUSDT|COINUSDT|CRCLUSDT|MSTRUSDT|ORDIUSDT
2026-04-15T15:00:00+00:00,1,0.00168,DEXEUSDT
2026-04-15T15:30:00+00:00,1,-0.00254,LDOUSDT
2026-04-15T16:45:00+00:00,1,0.0006,AAVEUSDT
2026-04-15T17:15:00+00:00,1,0.00118,RIFUSDT
2026-04-15T17:30:00+00:00,1,-0.00188,CHZUSDT
2026-04-15T18:00:00+00:00,1,0.00199,ORDIUSDT
2026-04-15T22:00:00+00:00,1,0.00398,INJUSDT
2026-04-15T22:30:00+00:00,1,0.00094,ORDIUSDT
2026-04-16T00:00:00+00:00,1,-0.00284,HBARUSDT
2026-04-16T00:15:00+00:00,1,1e-05,APTUSDT
2026-04-16T00:45:00+00:00,1,0.0006,TRUMPUSDT
2026-04-16T02:45:00+00:00,1,-0.00411,ORDIUSDT
2026-04-16T03:00:00+00:00,1,0.00087,AKEUSDT
2026-04-16T03:15:00+00:00,1,0.00125,MORPHOUSDT
2026-04-16T04:45:00+00:00,1,-0.00212,AAVEUSDT
2026-04-16T05:00:00+00:00,1,-0.00031,HEIUSDT
2026-04-16T07:45:00+00:00,1,-0.00206,OPUSDT
2026-04-16T08:00:00+00:00,1,-0.00237,ORDIUSDT
2026-04-16T08:30:00+00:00,1,-0.00013,AKEUSDT
2026-04-16T10:15:00+00:00,1,0.00049,1000PEPEUSDT
2026-04-16T13:15:00+00:00,2,0.00202,AKEUSDT|USUSDT
2026-04-16T13:30:00+00:00,7,-0.00485,COINUSDT|CRCLUSDT|EIGENUSDT|HOODUSDT|MSTRUSDT|ORDIUSDT|TSLAUSDT
2026-04-16T13:45:00+00:00,29,-0.01092,1000BONKUSDT|1000SHIBUSDT|AAVEUSDT|ADAUSDT|APTUSDT|ARBUSDT|BNBUSDT|CHZUSDT|CRVUSDT|DOTUSDT|ETCUSDT|FILUSDT|INJUSDT|LDOUSDT|LINKUSDT|LTCUSDT|ONDOUSDT|OPUSDT|PENDLEUSDT|PENGUUSDT|PUMPUSDT|RENDERUSDT|SUIUSDT|TIAUSDT|TRUMPUSDT|UNIUSDT|VIRTUALUSDT|WIFUSDT|WLDUSDT
2026-04-16T17:45:00+00:00,1,-0.00054,ORDIUSDT
2026-04-16T18:30:00+00:00,1,0.00228,EIGENUSDT
2026-04-16T21:00:00+00:00,1,-0.00117,LDOUSDT
2026-04-16T21:15:00+00:00,1,-0.0028,AAVEUSDT
2026-04-17T00:00:00+00:00,1,-0.00235,TIAUSDT
2026-04-17T01:15:00+00:00,1,-0.00184,ORDIUSDT
2026-04-17T02:15:00+00:00,1,-0.0016,ICPUSDT
2026-04-17T07:45:00+00:00,1,0.00091,UBUSDT
2026-04-17T08:00:00+00:00,1,-0.00029,TRXUSDT
2026-04-17T08:15:00+00:00,1,0.00058,TIAUSDT
2026-04-17T08:45:00+00:00,1,0.00595,EPICUSDT
2026-04-17T10:00:00+00:00,1,-0.00204,PENDLEUSDT
2026-04-17T10:30:00+00:00,1,-0.00058,NEARUSDT
2026-04-17T13:15:00+00:00,4,-0.00443,COINUSDT|HOODUSDT|INTCUSDT|UNIUSDT
