utc,cluster_size,btc_ret15,symbols
2026-04-13T03:15:00+00:00,1,-0.00061,KRW-0G
2026-04-13T04:45:00+00:00,1,-0.00084,KRW-DOT
2026-04-13T05:30:00+00:00,1,-0.00161,KRW-AAVE
2026-04-13T09:00:00+00:00,1,0.00053,KRW-DOT
2026-04-13T09:30:00+00:00,1,-0.00056,KRW-ATH
2026-04-13T09:45:00+00:00,1,-0.00012,KRW-JTO
2026-04-13T12:00:00+00:00,1,0.00091,KRW-HOLO
2026-04-13T12:15:00+00:00,2,-0.00132,KRW-LA|KRW-TREE
2026-04-13T13:30:00+00:00,1,-0.00244,KRW-ATH
2026-04-13T14:30:00+00:00,1,0.00313,KRW-FLOCK
2026-04-13T19:15:00+00:00,1,0.00621,KRW-HOLO
2026-04-13T23:45:00+00:00,1,0.001,KRW-CRO
2026-04-14T00:00:00+00:00,4,-0.00286,KRW-ENS|KRW-FIL|KRW-SAHARA|KRW-WAVES
2026-04-14T00:15:00+00:00,1,-0.00039,KRW-HOLO
2026-04-14T01:15:00+00:00,1,-0.00012,KRW-IN
2026-04-14T03:45:00+00:00,1,0.00016,KRW-ZBT
2026-04-14T04:30:00+00:00,1,-0.00074,KRW-OPEN
2026-04-14T04:45:00+00:00,1,-0.00011,KRW-DOT
2026-04-14T06:45:00+00:00,1,0.00112,KRW-PLUME
2026-04-14T07:00:00+00:00,1,0.00195,KRW-MMT
2026-04-14T07:45:00+00:00,2,0.00035,KRW-FLOCK|KRW-TREE
2026-04-14T10:30:00+00:00,1,-0.00316,KRW-KAITO
2026-04-14T10:45:00+00:00,1,0.00028,KRW-IN
2026-04-14T12:30:00+00:00,1,2e-05,KRW-HYPER
2026-04-14T12:45:00+00:00,1,0.00199,KRW-ZKP
2026-04-14T13:30:00+00:00,1,0.0071,KRW-TREE
2026-04-14T14:30:00+00:00,1,-0.00465,KRW-LINK
2026-04-14T14:45:00+00:00,3,-0.00499,KRW-BCH|KRW-BIO|KRW-IN
2026-04-14T15:00:00+00:00,1,-0.0031,KRW-AVAX
2026-04-14T20:15:00+00:00,1,-0.00302,KRW-IN
2026-04-14T23:15:00+00:00,1,0.00044,KRW-CRO
2026-04-15T00:30:00+00:00,1,-3e-05,KRW-HOLO
2026-04-15T01:30:00+00:00,1,-0.00099,KRW-IN
2026-04-15T01:45:00+00:00,1,0.0002,KRW-PLUME
2026-04-15T02:45:00+00:00,1,0.00101,KRW-HYPER
2026-04-15T04:15:00+00:00,1,-0.00115,KRW-BIGTIME
2026-04-15T05:00:00+00:00,1,-0.00035,KRW-MIRA
2026-04-15T06:00:00+00:00,1,0.00037,KRW-BIO
2026-04-15T06:45:00+00:00,1,-0.00036,KRW-PLUME
2026-04-15T07:00:00+00:00,1,-8e-05,KRW-IN
2026-04-15T07:15:00+00:00,1,-0.00187,KRW-ZBT
2026-04-15T07:45:00+00:00,1,0.00186,KRW-OPEN
2026-04-15T08:30:00+00:00,1,0.0021,KRW-HYPER
2026-04-15T09:30:00+00:00,1,0.00031,KRW-MIRA
2026-04-15T09:45:00+00:00,2,0.00109,KRW-ENSO|KRW-ERA
2026-04-15T11:00:00+00:00,1,0.00219,KRW-BIO
2026-04-15T12:00:00+00:00,1,-0.00014,KRW-FLOCK
2026-04-15T12:45:00+00:00,1,-0.0008,KRW-IN
2026-04-15T15:45:00+00:00,1,-0.00052,KRW-BIO
2026-04-15T17:30:00+00:00,1,-0.00218,KRW-CHZ
2026-04-15T21:45:00+00:00,1,-0.00081,KRW-BIO
2026-04-15T22:00:00+00:00,1,0.00429,KRW-INJ
2026-04-15T23:15:00+00:00,1,-6e-05,KRW-CRO
2026-04-16T01:15:00+00:00,1,0.00081,KRW-FLOCK
2026-04-16T02:45:00+00:00,4,-0.00255,KRW-BIO|KRW-BONK|KRW-PENGU|KRW-PEPE
2026-04-16T04:00:00+00:00,1,0.00013,KRW-ZKP
2026-04-16T05:30:00+00:00,1,1e-05,KRW-BIRB
2026-04-16T06:00:00+00:00,1,0.00013,KRW-FIL
2026-04-16T08:00:00+00:00,2,-0.00149,KRW-BIO|KRW-PENGU
2026-04-16T08:15:00+00:00,1,0.00224,KRW-DOT
2026-04-16T08:30:00+00:00,3,-0.00054,KRW-CFG|KRW-DEEP|KRW-W
2026-04-16T09:00:00+00:00,1,8e-05,KRW-ERA
2026-04-16T10:15:00+00:00,1,-2e-05,KRW-BIRB
2026-04-16T12:15:00+00:00,1,-0.0008,KRW-STORJ
2026-04-16T13:15:00+00:00,1,0.00154,KRW-BIO
2026-04-16T13:45:00+00:00,15,-0.00732,KRW-ARB|KRW-AVAX|KRW-BONK|KRW-DOT|KRW-FIL|KRW-LINK|KRW-NEAR|KRW-PENDLE|KRW-PEPE|KRW-PUMP|KRW-SIGN|KRW-STX|KRW-SUI|KRW-VIRTUAL|KRW-W
2026-04-16T14:15:00+00:00,3,-0.00081,KRW-DATA|KRW-DEEP|KRW-ETC
2026-04-16T15:30:00+00:00,1,0.00451,KRW-ELF
2026-04-16T15:45:00+00:00,1,0.00145,KRW-INJ
2026-04-16T16:00:00+00:00,1,-0.00128,KRW-COW
2026-04-16T20:15:00+00:00,1,-0.00285,KRW-ARB
2026-04-17T00:00:00+00:00,1,-0.00109,KRW-SIGN
2026-04-17T00:30:00+00:00,1,0.00063,KRW-DATA
