utc,symbol,trigger,ret15,volz
2026-04-08T09:15:00+00:00,LABUSDT,A,-0.0294,4.77
2026-04-08T09:45:00+00:00,HOODUSDT,B,0.00199,5.8
2026-04-08T10:00:00+00:00,ENAUSDT,B,0.00214,4.24
2026-04-08T10:15:00+00:00,HBARUSDT,B,0.01552,10.57
2026-04-08T10:15:00+00:00,ZROUSDT,B,0.01736,3.1
2026-04-08T11:00:00+00:00,KAITOUSDT,B,0.02001,9.67
2026-04-08T11:00:00+00:00,MSTRUSDT,B,0.00219,3.18
2026-04-08T11:30:00+00:00,1000SHIBUSDT,A,-0.00608,4.27
2026-04-08T12:15:00+00:00,XMRUSDT,B,0.00366,3.96
2026-04-08T13:00:00+00:00,LABUSDT,B,0.02102,3.93
2026-04-08T13:15:00+00:00,COINUSDT,B,0.01065,3.84
2026-04-08T13:30:00+00:00,AMZNUSDT,A,-0.01319,18.62
2026-04-08T13:30:00+00:00,COINUSDT,A,-0.023,11.14
2026-04-08T13:30:00+00:00,CRCLUSDT,A,-0.03916,7.27
2026-04-08T13:30:00+00:00,HOODUSDT,A,-0.01703,17.95
2026-04-08T13:30:00+00:00,INTCUSDT,B,0.02203,15.01
2026-04-08T13:30:00+00:00,MSTRUSDT,A,-0.02922,10.89
2026-04-08T13:30:00+00:00,PLTRUSDT,A,-0.02247,10.26
2026-04-08T13:30:00+00:00,TSLAUSDT,A,-0.02516,15.5
2026-04-08T14:00:00+00:00,CRCLUSDT,B,0.0095,3.13
2026-04-08T14:00:00+00:00,DASHUSDT,B,0.01656,4.17
2026-04-08T14:15:00+00:00,DASHUSDT,A,-0.00681,5.01
2026-04-08T14:15:00+00:00,PLTRUSDT,B,0.01178,4.43
2026-04-08T14:15:00+00:00,XMRUSDT,A,-0.06299,96.58
2026-04-08T14:30:00+00:00,1000BONKUSDT,A,-0.00673,5.61
2026-04-08T14:30:00+00:00,AAVEUSDT,A,-0.01246,4.21
2026-04-08T14:30:00+00:00,BEATUSDT,B,0.06198,3.67
2026-04-08T14:30:00+00:00,INTCUSDT,A,-0.00663,3.59
2026-04-08T14:30:00+00:00,SUIUSDT,A,-0.00899,3.81
2026-04-08T14:30:00+00:00,TSLAUSDT,B,0.00437,4.05
2026-04-08T15:30:00+00:00,JUPUSDT,A,-0.00612,9.75
2026-04-08T15:30:00+00:00,MAGMAUSDT,B,0.0473,5.31
2026-04-08T15:45:00+00:00,LABUSDT,A,-0.06032,30.51
2026-04-08T16:00:00+00:00,AEROUSDT,B,0.0143,3.83
2026-04-08T16:00:00+00:00,TLMUSDT,B,0.00544,3.45
2026-04-08T16:30:00+00:00,TLMUSDT,A,-0.02396,3.86
2026-04-08T17:15:00+00:00,LABUSDT,B,0.02904,18.63
2026-04-08T18:30:00+00:00,TACUSDT,A,-0.00875,1.05
2026-04-08T18:45:00+00:00,XMRUSDT,A,-0.00927,4.83
2026-04-08T18:45:00+00:00,ZROUSDT,A,-0.02705,7.81
2026-04-08T20:15:00+00:00,LABUSDT,A,-0.0759,9.83
2026-04-08T20:45:00+00:00,FARTCOINUSDT,B,0.0205,10.9
2026-04-08T21:00:00+00:00,ARBUSDT,B,0.01567,3.07
2026-04-08T21:15:00+00:00,EIGENUSDT,B,0.00304,7.78
2026-04-08T21:15:00+00:00,LABUSDT,B,0.01683,4.68
2026-04-08T21:45:00+00:00,XMRUSDT,B,0.00455,5.01
2026-04-08T22:15:00+00:00,WLFIUSDT,A,-0.0117,3.81
2026-04-08T23:00:00+00:00,FARTCOINUSDT,A,-0.16278,76.91
2026-04-08T23:00:00+00:00,LITUSDT,A,-0.03152,6.4
2026-04-09T00:00:00+00:00,ARBUSDT,A,-0.01518,5.58
2026-04-09T00:00:00+00:00,DASHUSDT,A,-0.01308,4.22
2026-04-09T00:00:00+00:00,TIAUSDT,A,-0.00738,4.18
2026-04-09T01:45:00+00:00,WLFIUSDT,B,0.0178,5.48
2026-04-09T03:00:00+00:00,MAGMAUSDT,B,0.05219,4.37
2026-04-09T03:30:00+00:00,AKEUSDT,B,0.05136,4.29
2026-04-09T03:30:00+00:00,ONDOUSDT,A,-0.00752,3.57
2026-04-09T05:30:00+00:00,AAVEUSDT,B,0.00333,3.66
2026-04-09T05:30:00+00:00,MORPHOUSDT,B,0.01372,3.29
2026-04-09T05:30:00+00:00,TIAUSDT,B,0.00102,3.48
2026-04-09T05:45:00+00:00,FARTCOINUSDT,A,-0.02214,1.73
2026-04-09T08:45:00+00:00,XLMUSDT,B,0.00252,4.61
2026-04-09T08:45:00+00:00,XMRUSDT,B,0.02216,6.27
2026-04-09T10:30:00+00:00,MAGMAUSDT,B,0.00073,4.1
2026-04-09T11:00:00+00:00,KAITOUSDT,A,-0.02911,7.89
2026-04-09T11:30:00+00:00,ATOMUSDT,B,0.00168,3.8
2026-04-09T12:15:00+00:00,EVAAUSDT,B,0.02595,6.11
2026-04-09T12:30:00+00:00,MAGMAUSDT,A,-0.03188,6.84
2026-04-09T13:00:00+00:00,INTCUSDT,B,0.0349,11.27
2026-04-09T13:15:00+00:00,INTCUSDT,A,-0.01896,4.7
2026-04-09T13:30:00+00:00,COINUSDT,A,-0.01655,8.46
2026-04-09T13:30:00+00:00,CRCLUSDT,A,-0.01093,4.79
2026-04-09T13:30:00+00:00,HOODUSDT,A,-0.0116,8.23
2026-04-09T13:30:00+00:00,MSTRUSDT,B,0.00962,9.72
2026-04-09T13:30:00+00:00,PLTRUSDT,A,-0.03788,16.94
2026-04-09T13:30:00+00:00,TSLAUSDT,B,0.00492,9.8
2026-04-09T13:45:00+00:00,BCHUSDT,A,-0.00732,4.49
2026-04-09T13:45:00+00:00,MSTRUSDT,A,-0.01526,4.72
2026-04-09T13:45:00+00:00,TSLAUSDT,A,-0.01716,8.07
2026-04-09T14:30:00+00:00,MAGMAUSDT,B,0.01558,3.28
2026-04-09T14:45:00+00:00,PLTRUSDT,B,0.00601,3.91
2026-04-09T15:00:00+00:00,AMZNUSDT,B,0.00486,4.7
2026-04-09T15:00:00+00:00,EVAAUSDT,A,-0.01543,14.37
2026-04-09T15:00:00+00:00,NEARUSDT,B,0.00817,3.64
2026-04-09T15:30:00+00:00,1000BONKUSDT,B,0.02126,4.41
2026-04-09T15:30:00+00:00,AAVEUSDT,B,0.01486,3.62
2026-04-09T15:30:00+00:00,ARBUSDT,B,0.01163,3.0
2026-04-09T15:30:00+00:00,ATOMUSDT,B,0.01224,4.68
2026-04-09T15:30:00+00:00,AVAXUSDT,B,0.01637,3.03
2026-04-09T15:30:00+00:00,COINUSDT,B,0.00996,3.01
2026-04-09T15:30:00+00:00,CRVUSDT,B,0.01835,4.62
2026-04-09T15:30:00+00:00,ENAUSDT,B,0.0248,3.73
2026-04-09T15:30:00+00:00,LITUSDT,B,0.03079,3.06
2026-04-09T15:30:00+00:00,MORPHOUSDT,B,0.00883,4.78
2026-04-09T15:30:00+00:00,SUIUSDT,B,0.01854,3.76
2026-04-09T15:30:00+00:00,VVVUSDT,B,0.02389,3.72
2026-04-09T15:30:00+00:00,XMRUSDT,B,0.0214,3.57
2026-04-09T15:45:00+00:00,LABUSDT,B,0.02638,4.24
2026-04-09T16:30:00+00:00,FARTCOINUSDT,A,-0.02162,2.33
2026-04-09T17:00:00+00:00,AKEUSDT,B,0.05111,29.23
2026-04-09T17:30:00+00:00,MORPHOUSDT,A,-0.02122,4.56
2026-04-09T18:30:00+00:00,DASHUSDT,B,0.00938,4.35
2026-04-09T18:30:00+00:00,XMRUSDT,A,-0.00953,3.39
2026-04-09T18:45:00+00:00,MAGMAUSDT,B,0.02695,5.45
2026-04-09T19:15:00+00:00,DASHUSDT,A,-0.00961,8.73
2026-04-09T19:30:00+00:00,EPICUSDT,B,0.02788,6.27
2026-04-09T19:30:00+00:00,PLTRUSDT,B,0.00505,4.08
2026-04-09T20:00:00+00:00,1000BONKUSDT,B,0.00185,3.59
2026-04-09T20:15:00+00:00,MORPHOUSDT,B,0.01219,3.49
2026-04-09T20:15:00+00:00,XLMUSDT,B,0.00476,4.69
2026-04-09T21:30:00+00:00,AKEUSDT,B,0.03545,25.06
2026-04-09T21:30:00+00:00,ARBUSDT,B,0.03086,4.43
2026-04-09T21:45:00+00:00,AKEUSDT,A,-0.02511,16.63
2026-04-09T22:15:00+00:00,AVAXUSDT,B,0.01112,7.04
2026-04-09T22:15:00+00:00,DOTUSDT,B,0.00983,6.13
2026-04-09T22:15:00+00:00,SUIUSDT,B,0.00569,3.18
2026-04-09T22:15:00+00:00,WLFIUSDT,A,-0.04502,46.72
2026-04-09T22:45:00+00:00,WLFIUSDT,B,0.00562,3.92
2026-04-09T23:00:00+00:00,MAGMAUSDT,A,-0.04407,8.2
2026-04-09T23:15:00+00:00,MAGMAUSDT,B,0.09776,8.1
2026-04-09T23:30:00+00:00,TAOUSDT,A,-0.03863,4.88
2026-04-10T00:00:00+00:00,DASHUSDT,A,-0.00751,4.24
2026-04-10T00:00:00+00:00,KAITOUSDT,A,-0.01656,4.14
2026-04-10T00:15:00+00:00,ATOMUSDT,B,0.00893,3.59
2026-04-10T00:30:00+00:00,TAOUSDT,B,0.00423,5.33
2026-04-10T01:15:00+00:00,VVVUSDT,B,0.04005,6.39
2026-04-10T01:30:00+00:00,DASHUSDT,B,0.01616,3.39
2026-04-10T01:45:00+00:00,AKEUSDT,B,0.0238,4.54
2026-04-10T02:15:00+00:00,AKEUSDT,A,-0.04919,5.02
2026-04-10T02:30:00+00:00,AMZNUSDT,B,0.0012,3.39
2026-04-10T02:45:00+00:00,EPICUSDT,A,-0.03181,7.83
2026-04-10T02:45:00+00:00,LABUSDT,B,0.05335,9.56
2026-04-10T03:15:00+00:00,EPICUSDT,B,0.01048,3.46
2026-04-10T03:15:00+00:00,MAGMAUSDT,B,0.03395,3.02
2026-04-10T03:45:00+00:00,HBARUSDT,A,-0.00608,3.48
2026-04-10T03:45:00+00:00,TAOUSDT,A,-0.02862,4.33
2026-04-10T05:00:00+00:00,DEXEUSDT,B,0.03538,5.17
2026-04-10T05:15:00+00:00,TAOUSDT,B,0.03128,5.44
2026-04-10T05:45:00+00:00,LITUSDT,B,0.02935,4.1
2026-04-10T06:45:00+00:00,MORPHOUSDT,A,-0.01974,14.63
2026-04-10T07:00:00+00:00,AKEUSDT,B,0.01836,3.34
2026-04-10T07:15:00+00:00,DASHUSDT,B,0.01267,6.26
2026-04-10T07:15:00+00:00,XMRUSDT,B,0.00319,3.98
2026-04-10T07:30:00+00:00,LABUSDT,B,0.00738,3.66
2026-04-10T07:45:00+00:00,DASHUSDT,A,-0.00907,6.1
2026-04-10T07:45:00+00:00,WLFIUSDT,A,-0.02156,9.5
2026-04-10T08:00:00+00:00,PENGUUSDT,A,-0.00641,12.01
2026-04-10T08:45:00+00:00,WLFIUSDT,B,0.00726,4.57
2026-04-10T09:00:00+00:00,AKEUSDT,A,-0.04087,8.02
2026-04-10T09:15:00+00:00,LABUSDT,A,-0.04387,5.55
2026-04-10T09:30:00+00:00,MAGMAUSDT,B,0.02044,4.8
2026-04-10T10:00:00+00:00,ARBUSDT,B,0.00272,9.3
2026-04-10T10:30:00+00:00,EVAAUSDT,B,0.04007,7.24
2026-04-10T10:30:00+00:00,MAGMAUSDT,A,-0.04643,5.2
2026-04-10T11:15:00+00:00,DASHUSDT,B,0.01128,10.01
2026-04-10T11:30:00+00:00,AMZNUSDT,B,0.00026,5.33
2026-04-10T11:45:00+00:00,DEXEUSDT,B,0.02015,4.4
2026-04-10T12:15:00+00:00,XLMUSDT,B,0.00091,3.56
2026-04-10T12:30:00+00:00,AKEUSDT,B,0.01318,3.52
2026-04-10T12:30:00+00:00,DEXEUSDT,A,-0.01738,5.91
2026-04-10T12:30:00+00:00,LABUSDT,B,0.05893,9.03
2026-04-10T12:30:00+00:00,WLFIUSDT,A,-0.00982,3.46
2026-04-10T13:15:00+00:00,PLTRUSDT,A,-0.00665,5.23
2026-04-10T13:15:00+00:00,XMRUSDT,B,0.00075,4.11
2026-04-10T13:30:00+00:00,COINUSDT,A,-0.0239,9.24
2026-04-10T13:30:00+00:00,CRCLUSDT,A,-0.01965,5.87
2026-04-10T13:30:00+00:00,HOODUSDT,A,-0.01127,6.98
2026-04-10T13:30:00+00:00,INTCUSDT,B,0.01396,8.11
2026-04-10T13:30:00+00:00,MSTRUSDT,A,-0.00753,9.45
2026-04-10T13:30:00+00:00,TSLAUSDT,B,0.00196,10.09
2026-04-10T13:45:00+00:00,AKEUSDT,A,-0.03026,8.07
2026-04-10T13:45:00+00:00,CRCLUSDT,B,0.00371,3.15
2026-04-10T13:45:00+00:00,CRVUSDT,B,0.00913,5.85
2026-04-10T13:45:00+00:00,DASHUSDT,A,-0.01731,6.95
2026-04-10T13:45:00+00:00,MSTRUSDT,B,0.00635,3.12
2026-04-10T14:15:00+00:00,ATOMUSDT,B,0.00272,3.33
2026-04-10T14:15:00+00:00,LDOUSDT,B,0.01835,5.05
2026-04-10T14:15:00+00:00,MAGMAUSDT,B,0.03034,5.69
2026-04-10T14:30:00+00:00,MAGMAUSDT,A,-0.07503,5.87
2026-04-10T14:30:00+00:00,PLTRUSDT,B,0.01901,32.53
2026-04-10T14:45:00+00:00,LABUSDT,A,-0.05304,4.66
2026-04-10T15:00:00+00:00,GWEIUSDT,B,0.00393,4.28
2026-04-10T15:00:00+00:00,INJUSDT,B,0.00098,5.19
2026-04-10T15:00:00+00:00,WLDUSDT,B,0.01853,26.95
2026-04-10T15:30:00+00:00,DASHUSDT,B,0.00606,7.6
2026-04-10T15:30:00+00:00,LDOUSDT,A,-0.01429,3.55
2026-04-10T16:00:00+00:00,ALLOUSDT,B,0.01518,3.27
2026-04-10T16:00:00+00:00,EVAAUSDT,B,0.01884,13.9
2026-04-10T16:45:00+00:00,AKEUSDT,B,0.0271,4.55
2026-04-10T17:45:00+00:00,EPICUSDT,B,0.00971,3.71
2026-04-10T18:00:00+00:00,DASHUSDT,A,-0.01492,7.23
2026-04-10T18:15:00+00:00,AKEUSDT,A,-0.02835,6.99
2026-04-10T18:15:00+00:00,AVAXUSDT,B,0.00361,4.56
2026-04-10T18:15:00+00:00,LITUSDT,B,0.01157,9.36
2026-04-10T18:30:00+00:00,LABUSDT,B,0.01664,3.15
2026-04-10T18:45:00+00:00,MAGMAUSDT,B,0.0055,3.29
