utc,symbol,trigger,ret15,volz
2026-04-11T03:15:00+00:00,KRW-MET2,B,0.00952,7.16
2026-04-11T03:45:00+00:00,KRW-MET2,A,-0.03271,6.5
2026-04-11T04:00:00+00:00,KRW-CRO,A,-0.00962,4.38
2026-04-11T04:15:00+00:00,KRW-ARB,A,-0.01685,14.57
2026-04-11T04:15:00+00:00,KRW-ONT,B,0.13445,6.91
2026-04-11T06:00:00+00:00,KRW-MMT,B,0.02162,3.69
2026-04-11T06:15:00+00:00,KRW-FF,B,0.00699,3.41
2026-04-11T06:30:00+00:00,KRW-ID,B,0.00413,4.62
2026-04-11T06:45:00+00:00,KRW-MMT,A,-0.07538,11.92
2026-04-11T07:00:00+00:00,KRW-COW,A,-0.02083,5.41
2026-04-11T07:15:00+00:00,KRW-ID,A,-0.01585,186.38
2026-04-11T07:30:00+00:00,KRW-ZBT,B,0.00575,6.53
2026-04-11T08:15:00+00:00,KRW-ZBT,A,-0.0226,4.95
2026-04-11T08:30:00+00:00,KRW-AKT,A,-0.04979,5.21
2026-04-11T09:00:00+00:00,KRW-MET2,A,-0.01408,2.26
2026-04-11T09:45:00+00:00,KRW-MET2,B,0.00467,9.76
2026-04-11T10:15:00+00:00,KRW-FF,B,0.01399,9.59
2026-04-11T11:15:00+00:00,KRW-ID,B,0.00203,8.34
2026-04-11T11:30:00+00:00,KRW-COW,B,0.02367,13.06
2026-04-11T11:30:00+00:00,KRW-ID,A,-0.01623,16.05
2026-04-11T11:45:00+00:00,KRW-COW,A,-0.02601,16.17
2026-04-11T13:30:00+00:00,KRW-WLFI,B,0.00847,5.84
2026-04-11T14:00:00+00:00,KRW-POL,B,0.00787,5.01
2026-04-11T17:30:00+00:00,KRW-NEAR,B,0.01204,4.08
2026-04-11T23:00:00+00:00,KRW-ID,B,0.00204,3.32
2026-04-12T00:00:00+00:00,KRW-COW,A,-0.00893,1.11
2026-04-12T00:00:00+00:00,KRW-MET2,B,0.00943,7.23
2026-04-12T00:00:00+00:00,KRW-ZIL,B,0.00683,6.76
2026-04-12T00:15:00+00:00,KRW-FF,B,0.00758,3.64
2026-04-12T00:15:00+00:00,KRW-TREE,B,0.02011,3.94
2026-04-12T00:45:00+00:00,KRW-ID,A,-0.01139,7.36
2026-04-12T01:30:00+00:00,KRW-ARB,A,-0.01744,6.28
2026-04-12T01:30:00+00:00,KRW-BCH,A,-0.01617,7.38
2026-04-12T01:30:00+00:00,KRW-CRO,A,-0.00962,4.88
2026-04-12T01:30:00+00:00,KRW-ENS,A,-0.02598,5.95
2026-04-12T01:30:00+00:00,KRW-ETC,A,-0.01203,4.36
2026-04-12T01:30:00+00:00,KRW-FIL,A,-0.02474,5.77
2026-04-12T01:30:00+00:00,KRW-LINK,A,-0.02083,6.55
2026-04-12T01:30:00+00:00,KRW-PENDLE,A,-0.0217,2.42
2026-04-12T01:30:00+00:00,KRW-PENGU,A,-0.03846,6.95
2026-04-12T01:30:00+00:00,KRW-SAND,A,-0.02609,11.16
2026-04-12T01:30:00+00:00,KRW-STX,A,-0.01235,8.52
2026-04-12T01:30:00+00:00,KRW-SUI,A,-0.0243,6.31
2026-04-12T01:30:00+00:00,KRW-VIRTUAL,A,-0.03048,6.13
2026-04-12T01:30:00+00:00,KRW-WLFI,A,-0.02521,6.2
2026-04-12T01:30:00+00:00,KRW-ZKP,A,-0.01887,3.17
2026-04-12T01:45:00+00:00,KRW-MOVE,A,-0.00758,2.23
2026-04-12T01:45:00+00:00,KRW-W,A,-0.01064,5.51
2026-04-12T01:45:00+00:00,KRW-WAVES,A,-0.00489,4.46
2026-04-12T02:00:00+00:00,KRW-AAVE,B,0.00074,3.28
2026-04-12T02:00:00+00:00,KRW-FIL,B,0.00232,3.0
